209.17.97.122 - - [05/Feb/2021:03:25:25 +0000] "GET / HTTP/1.0" 200 3520 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)" "-" "-"
45.155.205.108 - - [05/Feb/2021:04:46:18 +0000] "POST /api/jsonws/invoke HTTP/1.1" 502 3708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "-"
45.155.205.108 - - [05/Feb/2021:04:46:19 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 502 3708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "-"
45.155.205.108 - - [05/Feb/2021:04:46:19 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.1" 502 3708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "-"
45.155.205.108 - - [05/Feb/2021:04:46:20 +0000] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 502 3708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "-"
45.155.205.108 - - [05/Feb/2021:04:46:20 +0000] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 502 3708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "-"
45.155.205.108 - - [05/Feb/2021:04:46:20 +0000] "GET /wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 502 3708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "-"
45.155.205.108 - - [05/Feb/2021:04:46:20 +0000] "GET /console/ HTTP/1.1" 502 3708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "-"
45.155.205.108 - - [05/Feb/2021:04:46:21 +0000] "GET /_ignition/execute-solution HTTP/1.1" 502 3708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "-"
45.155.205.108 - - [05/Feb/2021:04:46:21 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 1212 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "2.93"
45.155.205.108 - - [05/Feb/2021:04:46:22 +0000] "GET /?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php> HTTP/1.1" 200 1212 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "2.93"
45.155.205.108 - - [05/Feb/2021:04:46:22 +0000] "POST /Autodiscover/Autodiscover.xml HTTP/1.1" 502 3708 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" "-"
